sample	Source Species	Serotype
18-006979-001	Pig	Typhimurium
18-006979-002	Pig	Heidelberg
18-006979-004	Turkey	Typhimurium
18-006979-005	Chicken	Heidelberg
18-006979-010	Pig	Heidelberg
18-006979-014	Horse	"4,[5],12:i:-"
18-006979-015	Pig	Typhimurium
18-006979-016	Horse	Typhimurium
18-006979-021	Pig	Heidelberg
18-006979-023	Pig	Heidelberg
18-006979-026	Chicken	Typhimurium
18-006979-027	Cattle	Infantis
18-006979-028	Pig	"4,[5],12:i:-"
18-006979-030	Pig	"4,[5],12:i:-"
18-006979-032	Pig	Infantis
18-006979-033	Turkey	Typhimurium
18-006979-034	Turkey	"4,[5],12:i:-"
18-006979-035	Turkey	"4,[5],12:i:-"
18-006979-036	Pig	Infantis
18-006979-037	Sheep	"4,[5],12:i:-"
18-006979-038	Cattle	Typhimurium
18-006979-041	Pig	Typhimurium
18-006979-042	Horse	"4,[5],12:i:-"
18-006979-047	Pig	"4,[5],12:i:-"
18-006979-056	Chicken	Typhimurium
18-006979-057	Pig	Infantis
18-006979-069	Cattle	Heidelberg
18-006979-070	Cat	Typhimurium
18-006979-071	Cattle	"4,[5],12:i:-"
18-006979-074	Cattle	Heidelberg
18-006979-075	Pig	Infantis
18-006979-076	Pig	Typhimurium
18-006979-077	Pig	Infantis
18-006979-084	Pig	Infantis
18-006979-086	Pig	Infantis
18-006979-095	Cattle	Heidelberg
18-006979-098	Cattle	Heidelberg
18-006979-099	Pig	Typhimurium
18-006979-102	Cattle	Typhimurium
18-006979-106	Cattle	Typhimurium
18-006979-107	Cattle	"4,[5],12:i:-"
18-006979-113	Horse	"4,[5],12:i:-"
18-006979-118	Cattle	Heidelberg
18-006979-119	Pig	"4,[5],12:i:-"
18-006979-121	Pig	Heidelberg
18-006979-122	Cattle	Typhimurium
18-006979-125	Pig	Infantis
18-006979-128	Pig	"4,[5],12:i:-"
18-006979-137	Cattle	Heidelberg
18-006979-138	Pig	"4,[5],12:i:-"
18-006979-145	Pig	"4,[5],12:i:-"
18-006979-154	Cattle	"4,[5],12:i:-"
18-006979-155	Cattle	Heidelberg
18-006979-160	Chicken	Typhimurium
18-006979-162	Cattle	"4,[5],12:i:-"
18-006979-163	Cattle	Heidelberg
18-006979-165	Pig	Heidelberg
18-006979-175	Cattle	Heidelberg
18-006979-176	Cattle	Heidelberg
18-006979-181	Pig	Heidelberg
18-006979-183	Pig	"4,[5],12:i:-"
18-006979-184	Pig	Typhimurium
18-006979-188	Horse	Infantis
18-006979-190	Pig	"4,[5],12:i:-"
18-006979-192	Cattle	Heidelberg
18-006979-193	Cattle	Heidelberg
18-006979-196	Pig	"4,[5],12:i:-"
18-006979-197	Pig	"4,[5],12:i:-"
18-006979-198	Horse	Typhimurium
18-006979-200	Cattle	Typhimurium
18-006979-201	Chicken	Infantis
18-006979-204	Cattle	Heidelberg
18-006979-206	Chicken	"4,[5],12:i:-"
18-006979-207	Pig	Infantis
18-006979-209	Pig	"4,[5],12:i:-"
18-006979-210	Dog	Typhimurium
18-006979-212	Pig	Typhimurium
18-006979-217	Turkey	Typhimurium
18-006979-218	Pig	Typhimurium
18-006979-220	Horse	Typhimurium
18-006979-221	Cattle	Heidelberg
18-006979-222	Cattle	"4,[5],12:i:-"
18-006979-231	Pig	Infantis
18-006979-232	Pig	"4,[5],12:i:-"
18-006979-234	Cattle	"4,[5],12:i:-"
18-006979-235	Horse	Typhimurium
18-006979-237	Horse	Typhimurium
18-006979-243	Cattle	Typhimurium
18-006979-245	Pig	"4,[5],12:i:-"
18-006979-247	Pig	Heidelberg
18-006979-249	Pig	Infantis
18-006979-250	Cattle	Heidelberg
18-006979-255	Cattle	"4,[5],12:i:-"
18-006979-258	Pig	Typhimurium
18-006979-264	Pig	"4,[5],12:i:-"
18-006979-266	Chicken	"4,[5],12:i:-"
18-006979-270	Cattle	Heidelberg
18-006979-271	Pig	Infantis
18-006979-272	Goat	Typhimurium
18-006979-278	Dog	Typhimurium
18-006979-279	Horse	Typhimurium
18-006979-280	Cattle	Heidelberg
18-006979-283	Cattle	Infantis
18-006979-284	Dog	Typhimurium
18-006979-288	Cattle	Typhimurium
18-006979-290	Horse	"4,[5],12:i:-"
18-006979-294	Chicken	"4,[5],12:i:-"
18-006979-297	Cattle	Typhimurium
18-006979-299	Pig	Typhimurium
18-006979-302	Horse	Typhimurium
18-006979-308	Cattle	Typhimurium
18-006979-309	Pig	Infantis
18-006979-311	Pig	Typhimurium
18-006979-320	Pig	Infantis
18-006979-321	Sheep	Typhimurium
18-006979-323	Cattle	Infantis
18-006979-325	Pig	"4,[5],12:i:-"
18-006979-327	Cattle	"4,[5],12:i:-"
18-006979-333	Chicken	"4,[5],12:i:-"
18-006979-338	Cattle	"4,[5],12:i:-"
18-006979-342	Horse	"4,[5],12:i:-"
18-006979-345	Cattle	Infantis
18-006979-351	Horse	Infantis
18-006979-354	Pig	"4,[5],12:i:-"
18-006979-357	Cat	Typhimurium
